employer_description,industry
"Dann bewirb dich mit Lebenslauf, Foto und Arbeitszeugnissen.","accommodation, hotel, restaurants and food service"
"Die Fresh Food & Beverage-Group (FFB-Group) umfasst die Unternehmungen der Migros Industrie, welche Nahrungsmittel für den täglichen Genuss vom «Zmorge» bis zum «Znacht» anbieten. Für den Hauptsitz in Volketswil suchen wir einen Pensum: 90 - 100% Abteilung: Human Resources Standort: Volketswil, ab Januar 2023 in Zürich Ihre Aufgaben Datenpflege (Ein-, Austritte, Vertragsänderungen, lohnrelevante Daten) Vorbereitung Lohnverarbeitung für zugeteilten Bereich Abrechnung mit Sozialversicherungen, Stellvertretung für Zeitwirtschaft (MAPS), Verarbeitung EO-/Krankentaggelder (UKA) und Abrechnung Quellensteuer (ELM) Mithilfe bei Monats- und Jahresabschlussarbeiten Mithilfe bei Bearbeitung von Helpline-Tickets Kontakte zu Versicherungen, Behörden und Ämtern Ansprechpartner für die HR-Abteilungen Stellvertretung bei Abwesenheiten im 4er-Team Ihr Profil Kaufmännische Grundbildung mit fachspezifischer Weiterbildung (Payroll Spezialist, CAS Payroll Expert oder Fachausweis Sozialversicherungen) Mehrjährige Berufserfahrung in ähnlicher Funktion in einem grösseren Unternehmen Fundiertes Fachwissen in Sozialversicherungs- und Arbeitsrecht Hohes Verantwortungs- und Qualitätsbewusstsein Effiziente und strukturierte Arbeitsweise Diskreter und flexibler Dienstleister Sehr gute MS Office-Kenntnisse, SAP-Kenntnisse von Vorteil Unser Angebot Selbständige und abwechslungsreiche Tätigkeit in einem sympathischen Team Respektvoller Umgang in freundlichem Arbeitsklima Ab Januar 2023 Flexwork möglich aufgrund Überführung des im Aufbau befindenden Shared Service Center in Zürich Ein Unternehmen der Migros-Gruppe mit überdurchschnittlichen Sozialleistungen, von Vaterschaftsurlaub bis zur herausragenden Pensionskasse Vergünstigungen bei der Verpflegung sowie Sport- und Freizeitangeboten Haben wir Ihr Interesse geweckt? Ihr Kontakt für diese Stelle: JOWA AG, Sonja Tinner, Erlenwiesenstrasse 9, 8604 Volketswil Die JOWA ist Teil der Migros-Gruppe. Die Fresh Food & Beverage-Group (FFB-Group) umfasst die Unternehmungen der Migros Industrie, welche Nahrungsmittel für den täglichen Genuss vom «Zmorge» bis zum «Znacht» anbieten. Rund 4600 Mitarbeitende werden bei der Aproz Sources Minérales SA, der Bischofszell Nahrungsmittel AG, der Hug Bäckerei AG, der JOWA AG und der Sushi Mania SA beschäftigt. Die JOWA AG produziert Brot, Back- und Teigwaren sowie Konditoreiprodukte. Dann erwarten wir gerne Ihre vollständige Bewerbung.",wholesale and retail stores
"At Roche, 80,000 people across 150 countries are pushing back the frontiers of healthcare. During the doctoral research period, a pair of co-supervisors, one based at Roche and the other based at the selected University will mentor the student. &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; If you still have questions then please check our FAQs and videos on careers.roche.ch/faq. &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Tags: ROiQQ ROiLS &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;lt;strong&amp;gt;Roche is an equal opportunity employer.&amp;lt;/strong&amp;gt;&amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt;Vocational &amp;amp;amp; Development Programs, Vocational &amp;amp;amp; Development Programs &amp;amp;gt; Internship We are passionate about transforming patients&amp;amp;rsquo; lives and we are fearless in both decision-making and taking action. That is why we come to work every single day. We commit ourselves to scientific rigor, unassailable ethics, and access to medical innovations for all. &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; Hands-on experience in rodent models of cancer with knowledge and experience in animal handling, anesthetic and surgical procedures &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; Have a LTK 1 certificate or equivalent &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; Hands-on experience in cell culture techniques and a strong interest in cellular and molecular biology &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; The experience and investigative attitude that allows you to work independently, to design, perform, and interpret experiments, and to embark on new scientific methodologies &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; Strong presentation skills to communicate scientific data through internal seminars and team meetings, external conferences and research journals &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; &amp;amp;bull; Fluent in spoken and written English &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Application needs to include a CV, two references and a motivation letter. &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",pharmaceutical and life sciences
"Deloitte offers an award-winning culture that supports our employees' development of their personal brand through learning opportunities, professional experiences, inclusion, collaboration and personal well-being. Preferred: Demonstrated interest in Life Sciences ecosystem strategic challenges, medical, pharmaceutical, health care delivery or insurance, regulatory, policy issues Experience working with Commercial Technology and Commercial Technology vendors across the Sales, Marketing, and Service functions Superior critical thinking, analytical and problem-solving skills, including quantitative, statistical or medical/pharmacy research interest Knowledge of Commercial Life Sciences Platforms: CRM, Marketing/Campaign Management, Omni-Channel Engagement, Contact Center, Lead Management, Post-Sales Support Technical experience in one or more of the following: Veeva, IQVIA, Salesforce Health Cloud, Pitcher, Customer Times, MedConnect, Patient Connect Live within commuting distance to one of Deloitte's consulting offices How you'll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center. Benefits At Deloitte, we know that great people make a great organization. Learn more about what working at Deloitte can mean for you. Deloitte's culture Our positive and supportive culture encourages our people to do their best work every day. Learn more about Life at Deloitte. Corporate citizenship Deloitte is led by a purpose: to make an impact that matters. Learn more about Deloitte's impact on the world. Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. Check out recruiting tips from Deloitte professionals. Recruiting tips From developing a stand out resume to putting your best foot forward in the interview, we want you to feel prepared and confident as you explore opportunities at Deloitte. Check out recruiting tips from Deloitte recruiters. Benefits At Deloitte, we know that great people make a great organization. Learn more about what working at Deloitte can mean for you. This makes Deloitte one of the most rewarding places to work. As used in this posting, ""Deloitte"" means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Deloitte will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws. Preferred: Demonstrated interest in Life Sciences ecosystem strategic challenges, medical, pharmaceutical, health care delivery or insurance, regulatory, policy issues Experience working with Commercial Technology and Commercial Technology vendors across the Sales, Marketing, and Service functions Superior critical thinking, analytical and problem-solving skills, including quantitative, statistical or medical/pharmacy research interest Knowledge of Commercial Life Sciences Platforms: CRM, Marketing/Campaign Management, Omni-Channel Engagement, Contact Center, Lead Management, Post-Sales Support Technical experience in one or more of the following: Veeva, IQVIA, Salesforce Health Cloud, Pitcher, Customer Times, MedConnect, Patient Connect Live within commuting distance to one of Deloitte's consulting offices How you'll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. This purpose defines who we are and extends to relationships with our clients, our people and our communities. Our people and culture Our diverse, equitable, and inclusive culture empowers our people to be who they are, contribute their unique perspectives, and make a difference individually and collectively. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career. As used in this posting, ""Deloitte"" means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.",legal and consulting
"We are looking for someone like you to: -act as first line of defense for the front units in all things Lombard: From the underwriting of non-vanilla Lombard credit requests to promoting levered investment opportunities -promote the appropriate use of Lombard loans for portfolio leverage and/or outside liquidity needs to client advisors and clients by devising and driving sales tactics & strategy -build and maintain sustainable relationships by interacting with key stakeholders (credit risk control and product partners) as well as sparring with client advisors -work closely with colleagues across functions to constantly improve the Bank's lending and liquidity offering to better meet our clients' needs Your team You'll be working in the Global Lending Lombard Distribution team of the UBS Global Wealth Management Division, a diverse and international team of currently nine who during non-pandemic times sit in the very heart of Zrich. Contact Details UBS HR Recruiting Switzerland Disclaimer / Policy Statements UBS is an Equal Opportunity Employer. Switzerland - Zrich Product Management and Development, Sales Global Wealth Management Job Reference # 226057BR City Zrich Job Type Full Time Your role Do you enjoy managing multiple stakeholders in a dynamic deal-oriented environment? We are looking for someone like you to: -act as first line of defense for the front units in all things Lombard: From the underwriting of non-vanilla Lombard credit requests to promoting levered investment opportunities -promote the appropriate use of Lombard loans for portfolio leverage and/or outside liquidity needs to client advisors and clients by devising and driving sales tactics & strategy -build and maintain sustainable relationships by interacting with key stakeholders (credit risk control and product partners) as well as sparring with client advisors -work closely with colleagues across functions to constantly improve the Bank's lending and liquidity offering to better meet our clients' needs Your team You'll be working in the Global Lending Lombard Distribution team of the UBS Global Wealth Management Division, a diverse and international team of currently nine who during non-pandemic times sit in the very heart of Zrich. Our role is to drive transaction volume and revenue in our financing business by providing solutions to match our clients' specific needs and circumstances. Retail banking in Switzerland. That's what we do. And we do it for private and institutional clients as well as corporations around the world. We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us? Join us We're a truly global, collaborative and friendly group of people. And we support your career development, internal mobility and work-life balance.",financial and insurance
"Das Swiss Historic & Garten Hotel liegt im reizvollen Tessiner Künstlerdorf Carona, in dem einst Hermann Hesse viele schöne Stunden verbrachte. Unser Küchenteam verwendet nur frische und ausgesuchte Zutaten aus der Region.","accommodation, hotel, restaurants and food service"
"| Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. Credit Suisse is an equal opportunity employer. | Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. Then this is your chance! design of new metrics across all Compliance Risks in close collaboration with Subject Matter Experts and Data Specialists Coordinate the mid / end year assessment from a Compliance perspective for the Business on different levels Interaction with Stakeholders globally across the bank, main business partners include Compliance Coverage Officer, Compliance SMEs, FLDS / Business Risk Teams, Data specialists Be part of a highly motivated and forward thinking team, whose team spirit and specific expertise guarantee an exciting global and diverse working environment An excellent platform for you to gain deep understanding on Compliance Risk across Client Coverage and Product Units and to further grow your personal and professional skillset to build up your own career within an international network You Offer A University degree or bank apprenticeship combined with a higher education with a focus on banking, risk management or finance You have a 3 years or more of working experience in Compliance, Risk, Project Management or Front office in the financial industry Previous experience with Risk reporting or data analytics is an advantage Advanced MS-Office skills, in particular PowerPoint and Excel, Tableau skills would be a plus You have an affinity for IT and data and the ability to embrace new concepts and technologies quickly You are result oriented, dedicated and deliver on time with a high sense of accountability, reliability as well as an independent mind You enjoy working in a team and are a natural communicator In particular very good English and German language skills (spoken and written) LI-CSJOB* T. von Martini would be delighted to receive your application. Credit Suisse is an equal opportunity employer.",financial and insurance
"Die Liebherr-International AG mit Sitz in Bulle ist die Dachgesellschaft der Firmengruppe Liebherr und nimmt vielfältige Funktionen in den Bereichen Finanzen, Steuern, Revision, Recht, Versicherungswesen, Personal und Unternehmenskommunikation wahr. Die Firmengruppe Liebherr beschäftigt weltweit rund 48.000 Mitarbeiterinnen und Mitarbeiter in über 130 Gesellschaften. Im Bereich Corporate Technology & Digitalisation der Liebherr Gruppe koordinieren wir global die Technologie-Themen des Konzerns, bündeln das Wissen & sind für den konzernweiten Wissensaustausch sowie die (digitale) Zusammenarbeit zwischen den Konzerngesellschaften verantwortlich. Content-Management-System, Wiki, Confluence, MS Sharepoint, Collaboration Management) Reisebereitschaft (D, F, A) Sehr gute Deutsch- & Englischkenntnisse Liebherr-International AG Regina Abou el Naga regina.abouelnaga@liebherr.com Die Firmengruppe Liebherr beschäftigt weltweit rund 48.000 Mitarbeiterinnen und Mitarbeiter in über 130 Gesellschaften. Im Bereich Corporate Technology & Digitalisation der Liebherr Gruppe koordinieren wir global die Technologie-Themen des Konzerns, bündeln das Wissen & sind für den konzernweiten Wissensaustausch sowie die (digitale) Zusammenarbeit zwischen den Konzerngesellschaften verantwortlich. in einem agilen Umfeld Schaffung von Transparenz über die vorhandenen Wissensquellen & Strukturen Recherche, Bewertung & Strukturierung von Informationen Konzeption & Aufbereitung von Informationen unter Berücksichtigung der Zielgruppe Weiterentwicklung der Arbeitsabläufe im Bereich Wissensmanagement Entwicklung von Corporate Standards & Guidelines zur Wissensmanagement Voraussetzungen: Studierende / Masteranden an einer Fachhochschule oder Universität der Fachrichtung Wirtschaftsingenieurwesen, Betriebswirtschaft bzw. Content-Management-System, Wiki, Confluence, MS Sharepoint, Collaboration Management) Reisebereitschaft (D, F, A) Sehr gute Deutsch- & Englischkenntnisse Liebherr-International AG Regina Abou el Naga regina.abouelnaga@liebherr.com",manufacturing
"Your team designs and builds the hardware, software and networking technologies that power all of Google's services. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. Google's mission is to organize the world's information and make it universally accessible and useful. Minimum qualifications: Bachelor's degree in Electrical Engineering or equivalent practical experience. Preferred qualifications: Master's degree in Electrical Engineering, Computer Science or a related field. With your technical expertise, you lead projects in multiple areas of expertise (i.e., engineering domains or systems) within a data center facility, including construction and equipment installation/troubleshooting/debugging with vendors. Define the block level design document such as interface protocol, block diagram, transaction flow, pipeline, etc. Perform RTL coding, function/performance simulation debug, Lint/CDC/FV/UPF checks.",information and communication
"Dazu benötigen Sie eine technische Grundausbildung im Bereich Elektro, sowie eine Weiterbildung zum/zur Instandhaltungsfachmann/-frau oder Hauswart/-in mit eidg. FA oder die Bereitschaft diese zu absolvieren. Dabei koordinieren, überwachen und führen Sie Instandhaltungs- und Hauswartungsarbeiten durch und betreuen externe Service- oder Reinigungsfirmen. B und haben Ihren Wohnsitz in der näheren Umgebung von Rheinau ZH. Wir bewirtschaften rund 120 kantonale Liegenschaften im Kanton Zürich, darunter auch die Gebäude am Standort Rheinau mit der bekannten Klosterkirche in der markanten Rheinschlaufe. In dieser idyllischen Landschaft sorgt unser 6-köpfiges Team dafür, dass die Infrastruktur stets einwandfrei funktioniert und sich Mieter/-innen wie auch Gäste wohlfühlen. Markus Uhlmann ist Regionalleiter und vielleicht Ihr künftiger Chef. Wir freuen uns auf Ihre Online-Bewerbung.",public administration and international organizations
"In über 580 Dorfläden wird frisch und fründlich das Sortiment für den täglichen Bedarf angeboten. Der Volg-Laden mit attraktiven Öffnungszeiten ist ein Treffpunkt im Dorf und bietet eine persönliche Einkaufsatmosphäre. Volg ist im ländlichen Raum und in den Dörfern bis in die entlegensten Täler der Schweiz zu Hause. In über 580 Dorfläden wird frisch und fründlich das Sortiment für den täglichen Bedarf angeboten. Der Volg-Laden mit attraktiven Öffnungszeiten ist ein Treffpunkt im Dorf und bietet eine persönliche Einkaufsatmosphäre. Die Filiale in 9063 Stein AR sucht ab sofort oder nach Vereinbarung eine verantwortungsbewusste und motivierte Persönlichkeit. Im Wesentlichen sind Sie für folgende Tätigkeiten zuständig frisch und fründliche Beratung und Betreuung unserer Kundschaft Sicherstellen der konzepttreuen und ansprechenden Warenpräsentation Sortimentsbestellungen und Warenbereitschaft Fachgerechte Behandlung von Frischprodukten (Früchte, Gemüse etc.) Mithilfe in der Postagentur der Filiale Kassenbedienung Das Idealprofil beinhaltet Freude am aktiven Kundenkontakt Eine Ausbildung oder Erfahrungen im Verkauf (vorteilsweise in der Branche Nahrungs- und Genussmittel) Sozial- und Fachkompetenz Wir bieten als nachhaltiger und fairer Arbeitgeber Eine professionelle Einführung Breite Weiterbildungsmöglichkeiten durch unsere Volg-Academy Ein attraktives Gesamtpaket aus guten Mitarbeiterkonditionen, Sozialleistungen und Anstellungsbedingungen Ein dynamisches und familiäres Umfeld Ihr Arbeitsort 9063 Stein Salaire et avantages Salaire : Gehalt nach Profil Référence : 7663e16d-307a-4d1f-b5e0-89b83075ec1d Jobeo",wholesale and retail stores
"Organization :   Grand Hotel des Bains Kempinski St. Moritz Primary Location :   Switzerland-St. Moritz Job Type :   Regular Job Level :   Entry Level Staff Schedule :   Full-time Shift :   Day Job Job Posting :   Jul 13, 2021 Unposting Date :   Oct 31, 2021 Job Number: :   210000UU Reservation Agent (m/w/d)     Tradition & modern hospitality. We are looking for you to join our innovative Reservation Team as a dynamic and motivated Reservation Agent from November 2021 onwards! Dedicated to please, educated to entertain and never compromising on the European elegance of service, we are driven by our passion for crafting distinct and meaningful experiences. Each of our remarkable properties is a stage upon which our people perform their best and every day is an opportunity to apply their unique talents. Connected by our shared values, our passion for craftsmanship, and our care for one another, we are a global community of hoteliers.","accommodation, hotel, restaurants and food service"
"That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company. The Google Pixel team focuses on designing and delivering the world's most helpful mobile experience. This includes bringing together the best of Google’s artificial intelligence, software, and hardware to build global smartphones and create transformative experiences for users across the world. Minimum qualifications: Bachelor's degree in Electrical Engineering, Mechanical Engineering, Computer Science, Wireless, a related technical field, or equivalent practical experience. 1 year of experience in program/project management, working with cross-functional teams. Preferred qualifications: Experience in shipping high volume/quality products and consumer electronics. Knowledge of product life-cycle, tools, processes and operations planning. Excellent team player with creative thinking skills and the ability to partner with technical teams, cross-functional groups, and vendors. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. Partner with the Engineering teams (RF, Desense, Antenna, Carrier). Support device logistics between Wireless teams, Carrier labs, and third-party vendors. Develop, maintain, and communicate key focus points and next steps with engineering, vendors, operations, quality, and management.",information and communication
"You will make an important contribution when the diagnostic systems that are newly developed today at Roche Diagnostics are thoroughly tested and optimised before they go live tomorrow in hospitals and clinical laboratories for the benefit of patients. We are pleased that you are considering Roche as a potential employer! Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Roche at Penzberg, near Munich, employs more than 5,000 people. The site is one of the largest biotechnology centers in Europe and the only Roche site with research, development and production for both Pharmaceuticals and Diagnostics under one roof. From your beginning with Roche, our motivated team will welcome and support you. Roche is an Equal Opportunity Employer. Your department/team Within a development of a new software solution for immunology instruments as well as a diagnostic analyzer we are looking for support in our team in the department System Qualification. Our ideal candidate You successfully completed your apprenticeship, and then successfully your further education as techinician biology/chemistry (m/f/d) or alternatively obtained your bachelor's (master's) degree (m/f/d) in biology/chemistry/biotechnology/bioinformatics or similar subject You have already gained experience with diagnostic systems, clinical chemistry and immunology (especially blood banks) You communicate well in written and spoken German as well as in English and are fluent in technical literature. Application documents To make the application process as convenient as possible for you please add only your updated CV. We look forward to receiving your application! We are pleased that you are considering Roche as a potential employer! With people. For people. You can reach us from Monday to Friday from 8:30 am - 4:00 pm by phone: (+49) (0) 621-759 1616. We are pleased to respond to your inquiries. With people. For people. RoVi, our chatbot, assists you with your questions. Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Roche at Penzberg, near Munich, employs more than 5,000 people. The site is one of the largest biotechnology centers in Europe and the only Roche site with research, development and production for both Pharmaceuticals and Diagnostics under one roof. From your beginning with Roche, our motivated team will welcome and support you. Job Level: Individual contributor",pharmaceutical and life sciences
